"University_link","Picture_Url","University_Name","nation_flag_picture","Country","City","Rank_In_Australia","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-tasmania-502985","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Tasmania","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Hobart","#22","#273","59.5","18,264","(tie)"
"https://www.usnews.com/education/best-global-universities/la-trobe-university-501305","https://www.usnews.com/static-atlas/assets/img/education/education.svg","La Trobe University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Melbourne (Australia)","#23","#304","58.1","21,663","(tie)"
"https://www.usnews.com/education/best-global-universities/james-cook-university-506320","https://www.usnews.com/static-atlas/assets/img/education/education.svg","James Cook University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Townsville City","#24","#324","57.3","12,825","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-south-australia-506290","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of South Australia","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Adelaide","#25","#363","55.6","23,490","(tie)"
"https://www.usnews.com/education/best-global-universities/auckland-university-of-technology-528944","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Auckland University of Technology","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Auckland","#26","#372","55.2","18,837","(tie)"
"https://www.usnews.com/education/best-global-universities/australian-catholic-university-529148","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Australian Catholic University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Melbourne (Australia)","#27","#416","54.0","23,728","(tie)"
"https://www.usnews.com/education/best-global-universities/flinders-university-south-australia-504837","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Flinders University South Australia","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Bedford Park","#28","#426","53.8","17,366","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-southern-queensland-529601","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Southern Queensland","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Toowoomba","#29","#452","53.1","12,150","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-canterbury-504532","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Canterbury","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Christchurch","#30","#466","52.7","15,245","(tie)"
"https://www.usnews.com/education/best-global-universities/edith-cowan-university-528941","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Edith Cowan University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Joondalup","#31","#495","51.5","18,759","(tie)"
"https://www.usnews.com/education/best-global-universities/victoria-university-wellington-504111","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Victoria University Wellington","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Wellington","#31","#495","51.5","17,883","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-canberra-529147","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Canberra","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Canberra","#33","#593","48.4","N/A","(tie)"
