"University_link","Picture_Url","University_Name","City","Rank_In_India","Rank_In_World","Comparison","Global_Score","Enrollment"
"https://www.usnews.com/education/best-global-universities/homi-bhabha-national-institute-529784","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Homi Bhabha National Institute","Mumbai","#35","#1,354","(tie)","31.2","N/A"
"https://www.usnews.com/education/best-global-universities/anna-university-chennai-529021","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Anna University Chennai","Chennai","#36","#1,361","(tie)","31.0","N/A"
"https://www.usnews.com/education/best-global-universities/jamia-hamdard-university-529132","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jamia Hamdard University","New Delhi","#37","#1,365","(tie)","30.9","N/A"
"https://www.usnews.com/education/best-global-universities/bharathiar-university-529406","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bharathiar University","Coimbatore","#38","#1,376","(tie)","30.6","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-calcutta-529004","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Calcutta","Kolkata","#38","#1,376","(tie)","30.6","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-bhubaneswar-529756","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology Bhubaneswar","Argul","#40","#1,389","(tie)","30.3","N/A"
"https://www.usnews.com/education/best-global-universities/amity-university-noida-529512","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Amity University Noida","Noida","#41","#1,413","(tie)","29.8","31,383"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-tiruchirappalli-529710","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Tiruchirappalli","Tiruchirappalli","#41","#1,413","(tie)","29.8","N/A"
"https://www.usnews.com/education/best-global-universities/bharathidasan-university-529541","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Bharathidasan University","Tiruchirappalli","#43","#1,455","(tie)","28.7","N/A"
"https://www.usnews.com/education/best-global-universities/amrita-vishwa-vidyapeetham-529695","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Amrita Vishwa Vidyapeetham","Coimbatore","#44","#1,483","(tie)","28.1","N/A"
"https://www.usnews.com/education/best-global-universities/delhi-technological-university-529835","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Delhi Technological University","Delhi","#44","#1,483","(tie)","28.1","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-indian-school-of-mines-dhanbad-529410","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (Indian School of Mines) Dhanbad","Dhanbad","#46","#1,506","(tie)","27.7","N/A"
"https://www.usnews.com/education/best-global-universities/pondicherry-university-529502","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Pondicherry University","Puducherry","#47","#1,514","(tie)","27.5","N/A"
"https://www.usnews.com/education/best-global-universities/shanmugha-arts-science-technology-research-academy-sastra-529523","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Shanmugha Arts, Science, Technology & Research Academy (SASTRA)","Thanjavur","#47","#1,514","(tie)","27.5","N/A"
"https://www.usnews.com/education/best-global-universities/university-of-madras-529221","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Madras","Chennai","#49","#1,542","(tie)","26.9","N/A"
"https://www.usnews.com/education/best-global-universities/savitribai-phule-pune-university-529514","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Savitribai Phule Pune University","Pune","#50","#1,549","(tie)","26.8","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-pharmaceutical-education-research-niper-529648","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Pharmaceutical Education & Research (NIPER)","Mohali","#51","#1,556","(tie)","26.6","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-science-education-research-iiser---bhopal-529738","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Science Education & Research (IISER) - Bhopal","Bhopal","#52","#1,570","(tie)","26.2","N/A"
"https://www.usnews.com/education/best-global-universities/alagappa-university-529893","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Alagappa University","Karaikudi","#53","#1,585","(tie)","25.9","N/A"
"https://www.usnews.com/education/best-global-universities/malaviya-national-institute-of-technology-jaipur-529640","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Malaviya National Institute of Technology Jaipur","Jaipur","#54","#1,617","(tie)","25.1","N/A"
"https://www.usnews.com/education/best-global-universities/annamalai-university-529255","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Annamalai University","Annamalai nagar","#55","#1,636","(tie)","24.6","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-science-education-research-iiser---mohali-529967","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Science Education & Research (IISER) - Mohali","SAS Nagar","#55","#1,636","(tie)","24.6","N/A"
"https://www.usnews.com/education/best-global-universities/lovely-professional-university-530057","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Lovely Professional University","Phagwara","#57","#1,647","(tie)","24.5","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-karnataka-529773","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Karnataka","Mangalore","#58","#1,694","(tie)","23.1","N/A"
"https://www.usnews.com/education/best-global-universities/national-institute-of-technology-warangal-529770","https://www.usnews.com/static-atlas/assets/img/education/education.svg","National Institute of Technology Warangal","Warangal","#59","#1,726","(tie)","22.3","N/A"
"https://www.usnews.com/education/best-global-universities/sardar-vallabhbhai-national-institute-of-technology-529639","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Sardar Vallabhbhai National Institute of Technology","Surat","#60","#1,735","(tie)","22.0","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-patna-529821","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Patna","Patna","#61","#1,746","(tie)","21.7","N/A"
"https://www.usnews.com/education/best-global-universities/institute-of-chemical-technology-mumbai-529413","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Institute of Chemical Technology - Mumbai","Mumbai","#62","#1,753","(tie)","21.5","N/A"
