"University_link","Picture_Url","University_Name","City","Rank_In_Uk","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-west-scotland-530028","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of West Scotland","Glasgow","#41","#501","51.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/loughborough-university-506503","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Loughborough University","Loughborough","#42","#526","50.3","17,130","(tie)"
"https://www.usnews.com/education/best-global-universities/london-business-school-504845","https://www.usnews.com/static-atlas/assets/img/education/education.svg","London Business School","London (U.K.)","#43","#554","49.5","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-plymouth-500972","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Plymouth","Plymouth","#44","#558","49.4","16,180","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-portsmouth-505745","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Portsmouth","Portsmouth","#44","#558","49.4","23,595","(tie)"
"https://www.usnews.com/education/best-global-universities/liverpool-school-of-tropical-medicine-529389","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Liverpool School of Tropical Medicine","Liverpool","#46","#561","49.3","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-kent-500018","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Kent","Canterbury","#47","#576","48.9","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/royal-holloway-university-london-501237","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Royal Holloway University London","Egham","#48","#593","48.4","10,770","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-essex-502672","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Essex","Colchester","#49","#633","47.3","15,075","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-stirling-528876","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Stirling","Stirling","#50","#653","46.8","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/northumbria-university-529055","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Northumbria University","Newcastle upon Tyne","#51","#708","45.5","23,495","(tie)"
"https://www.usnews.com/education/best-global-universities/cranfield-university-500995","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Cranfield University","Cranfield","#52","#710","45.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/aston-university-528938","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aston University","Birmingham (U.K.)","#53","#717","45.3","13,230","(tie)"
"https://www.usnews.com/education/best-global-universities/heriot-watt-university-506192","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Heriot Watt University","Edinburgh","#54","#725","45.1","9,885","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-hull-505254","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Hull","Hull","#55","#732","44.9","12,725","(tie)"
"https://www.usnews.com/education/best-global-universities/anglia-ruskin-university-529443","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Anglia Ruskin University","Cambridge (U.K.)","#56","#750","44.4","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/manchester-metropolitan-university-528968","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Manchester Metropolitan University","Manchester","#56","#750","44.4","29,830","(tie)"
